Trading day,Trading Activity
2020-03-20,3
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-30,0
2020-03-31,0
2020-04-01,2
2020-04-02,0
2020-04-03,1
2020-04-06,1
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-13,3
2020-04-14,1
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-20,0
2020-04-21,1
2020-04-22,1
2020-04-23,0
2020-04-24,0
2020-04-27,1
2020-04-28,0
2020-04-29,0
2020-04-30,0
2020-05-01,1
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,0
2020-05-11,3
2020-05-12,1
2020-05-13,5
2020-05-14,0
2020-05-15,0
2020-05-18,1
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,2
2020-05-25,0
2020-05-26,4
2020-05-27,4
2020-05-28,8
2020-05-29,5
2020-06-01,2
2020-06-02,2
2020-06-03,0
2020-06-04,11
2020-06-05,5
2020-06-08,17
2020-06-09,18
2020-06-10,12
2020-06-11,21
2020-06-12,11
2020-06-15,0
2020-06-16,0
2020-06-17,1
2020-06-18,0
2020-06-19,3
2020-06-22,3
2020-06-23,2
2020-06-24,1
2020-06-25,1
2020-06-26,14
2020-06-29,4
2020-06-30,1
2020-07-01,0
2020-07-02,1
2020-07-03,0
2020-07-06,5
2020-07-07,3
2020-07-08,1
2020-07-09,1
2020-07-10,2
2020-07-13,2
2020-07-14,7
2020-07-15,8
2020-07-16,5
2020-07-17,5
2020-07-20,5
2020-07-21,7
2020-07-22,3
2020-07-23,7
2020-07-24,6
2020-07-27,5
2020-07-28,4
2020-07-29,1
2020-07-30,0
2020-07-31,0
2020-08-03,0
2020-08-04,4
2020-08-05,4
2020-08-06,2
2020-08-07,4
2020-08-10,1
2020-08-11,9
2020-08-12,12
2020-08-13,0
2020-08-14,3
2020-08-17,4
2020-08-18,4
2020-08-19,2
2020-08-20,2
2020-08-21,6
2020-08-24,9
2020-08-25,12
2020-08-26,3
2020-08-27,7
2020-08-28,4
2020-08-31,19
2020-09-01,29
2020-09-02,23
2020-09-03,13
2020-09-04,29
2020-09-07,3
2020-09-08,5
2020-09-09,23
2020-09-10,41
2020-09-11,13
2020-09-14,43
2020-09-15,65
2020-09-16,25
2020-09-17,4
2020-09-18,22
2020-09-21,15
2020-09-22,4
2020-09-23,7
2020-09-24,2
2020-09-25,2
2020-09-28,0
2020-09-29,1
2020-09-30,1
2020-10-01,0
2020-10-02,0
2020-10-05,0
2020-10-06,1
2020-10-07,1
2020-10-08,0
2020-10-09,0
2020-10-12,1
2020-10-13,0
2020-10-14,0
2020-10-15,7
2020-10-16,9
2020-10-19,4
2020-10-20,4
2020-10-21,1
2020-10-22,1
2020-10-23,1
2020-10-26,4
2020-10-27,1
2020-10-28,1
2020-10-29,0
2020-10-30,1
2020-11-02,0
2020-11-03,0
2020-11-04,0
2020-11-05,0
2020-11-06,2
2020-11-09,22
2020-11-10,23
2020-11-11,9
2020-11-12,8
2020-11-13,18
2020-11-16,12
2020-11-17,32
2020-11-18,24
2020-11-19,22
2020-11-20,5
2020-11-23,3
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,3
2020-11-30,13
2020-12-01,10
2020-12-02,37
2020-12-03,3
2020-12-04,0
2020-12-07,8
2020-12-08,15
2020-12-09,27
2020-12-10,4
2020-12-11,5
2020-12-14,5
2020-12-15,2
2020-12-16,7
2020-12-17,8
2020-12-18,5
2020-12-21,7
2020-12-22,3
2020-12-23,1
2020-12-24,7
2020-12-25,0
2020-12-28,6
2020-12-29,6
2020-12-30,6
2020-12-31,20
2021-01-01,0
2021-01-04,12
2021-01-05,1
2021-01-06,24
2021-01-07,14
2021-01-08,19
2021-01-11,20
2021-01-12,7
2021-01-13,26
2021-01-14,17
2021-01-15,22
2021-01-18,0
2021-01-19,12
2021-01-20,3
2021-01-21,27
2021-01-22,22
2021-01-25,28
2021-01-26,12
2021-01-27,34
2021-01-28,11
2021-01-29,7
2021-02-01,18
2021-02-02,10
2021-02-03,16
2021-02-04,17
2021-02-05,16
2021-02-08,19
2021-02-09,25
2021-02-10,18
2021-02-11,24
2021-02-12,11
2021-02-15,0
2021-02-16,18
2021-02-17,18
2021-02-18,22
2021-02-19,13
2021-02-22,6
2021-02-23,6
2021-02-24,9
2021-02-25,4
2021-02-26,2
2021-03-01,2
2021-03-02,0
2021-03-03,1
2021-03-04,7
2021-03-05,3
2021-03-08,2
2021-03-09,1
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-15,1
2021-03-16,5
2021-03-17,6
2021-03-18,1
2021-03-19,0
2021-03-22,6
2021-03-23,0
2021-03-24,6
2021-03-25,1
2021-03-26,1
