,Date,Pollster,Answer,Percent
0,2019-12-12 00:00:00,BMG Research,remain,49
1,2019-12-12 00:00:00,BMG Research,leave,41
2,2019-12-12 00:00:00,BMG Research,no answer / don't know,10
3,2019-12-06 00:00:00,BMG Research,remain,51
4,2019-12-06 00:00:00,BMG Research,leave,42
5,2019-12-06 00:00:00,BMG Research,no answer / don't know,7
6,2019-11-29 00:00:00,BMG Research,remain,50
7,2019-11-29 00:00:00,BMG Research,leave,42
8,2019-11-29 00:00:00,BMG Research,no answer / don't know,8
9,2019-11-21 00:00:00,BMG Research,remain,51
10,2019-11-21 00:00:00,BMG Research,leave,43
11,2019-11-21 00:00:00,BMG Research,no answer / don't know,6
12,2019-11-15 00:00:00,BMG Research,remain,50
13,2019-11-15 00:00:00,BMG Research,leave,42
14,2019-11-15 00:00:00,BMG Research,no answer / don't know,8
15,2019-10-30 00:00:00,Survation,remain,52
16,2019-10-30 00:00:00,Survation,leave,45
17,2019-10-30 00:00:00,Survation,no answer / don't know,3
18,2019-10-18 00:00:00,Survation,remain,49
19,2019-10-18 00:00:00,Survation,leave,46
20,2019-10-18 00:00:00,Survation,no answer / don't know,5
21,2019-10-04 00:00:00,BMG Research,remain,49
22,2019-10-04 00:00:00,BMG Research,leave,44
23,2019-10-04 00:00:00,BMG Research,no answer / don't know,7
24,2019-09-25 00:00:00,Survation,remain,51
25,2019-09-25 00:00:00,Survation,leave,45
26,2019-09-25 00:00:00,Survation,no answer / don't know,4
27,2019-09-06 00:00:00,Survation,remain,50
28,2019-09-06 00:00:00,Survation,leave,44
29,2019-09-06 00:00:00,Survation,no answer / don't know,6
30,2019-08-30 00:00:00,Survation,remain,51
31,2019-08-30 00:00:00,Survation,leave,46
32,2019-08-30 00:00:00,Survation,no answer / don't know,3
33,2019-08-11 00:00:00,Survation,remain,52
34,2019-08-11 00:00:00,Survation,leave,43
35,2019-08-11 00:00:00,Survation,no answer / don't know,5
36,2019-06-20 00:00:00,Survation,remain,51
37,2019-06-20 00:00:00,Survation,leave,44
38,2019-06-20 00:00:00,Survation,no answer / don't know,5
39,2019-06-07 00:00:00,BMG Research,remain,48
40,2019-06-07 00:00:00,BMG Research,leave,44
41,2019-06-07 00:00:00,BMG Research,no answer / don't know,8
42,2019-05-22 00:00:00,Survation,remain,47
43,2019-05-22 00:00:00,Survation,leave,48
44,2019-05-22 00:00:00,Survation,no answer / don't know,5
45,2019-05-17 00:00:00,Survation,remain,49
46,2019-05-17 00:00:00,Survation,leave,47
