Trading day,Type,Percent
2020-03-20,Buy,100
2020-04-01,Buy,100
2020-04-03,Buy,100
2020-04-06,Buy,100
2020-04-13,Buy,100
2020-04-14,Buy,100
2020-04-21,Buy,100
2020-04-22,Buy,100
2020-04-27,Buy,100
2020-05-01,Buy,100
2020-05-11,Buy,100
2020-05-12,Buy,100
2020-05-13,Buy,100
2020-05-18,Buy,100
2020-05-22,Buy,100
2020-05-26,Buy,100
2020-05-27,Buy,100
2020-05-28,Buy,25
2020-05-28,Sell,75
2020-05-29,Buy,100
2020-06-01,Buy,100
2020-06-02,Buy,100
2020-06-04,Buy,90
2020-06-04,Sell,9
2020-06-05,Buy,40
2020-06-05,Sell,60
2020-06-08,Buy,76
2020-06-08,Sell,23
2020-06-09,Buy,77
2020-06-09,Sell,22
2020-06-10,Buy,91
2020-06-10,Sell,8
2020-06-11,Buy,57
2020-06-11,Sell,42
2020-06-12,Buy,100
2020-06-17,Buy,100
2020-06-19,Buy,100
2020-06-22,Buy,66
2020-06-22,Sell,33
2020-06-23,Buy,50
2020-06-23,Sell,50
2020-06-24,Sell,100
2020-06-25,Sell,100
2020-06-26,Buy,50
2020-06-26,Sell,50
2020-06-29,Buy,25
2020-06-29,Sell,75
2020-06-30,Buy,100
2020-07-02,Sell,100
2020-07-06,Buy,80
2020-07-06,Sell,20
2020-07-07,Buy,100
2020-07-08,Buy,100
2020-07-09,Buy,100
2020-07-10,Buy,50
2020-07-10,Sell,50
2020-07-13,Buy,100
2020-07-14,Buy,100
2020-07-15,Buy,37
2020-07-15,Sell,62
2020-07-16,Buy,100
2020-07-17,Buy,100
2020-07-20,Buy,40
2020-07-20,Sell,60
2020-07-21,Buy,71
2020-07-21,Sell,28
2020-07-22,Buy,66
2020-07-22,Sell,33
2020-07-23,Buy,57
2020-07-23,Sell,42
2020-07-24,Buy,66
2020-07-24,Sell,33
2020-07-27,Buy,60
2020-07-27,Sell,40
2020-07-28,Buy,75
2020-07-28,Sell,25
2020-07-29,Buy,100
2020-08-04,Buy,75
2020-08-04,Sell,25
2020-08-05,Buy,75
2020-08-05,Sell,25
2020-08-06,Sell,100
2020-08-07,Buy,75
2020-08-07,Sell,25
2020-08-10,Sell,100
2020-08-11,Buy,77
2020-08-11,Sell,22
2020-08-12,Buy,50
2020-08-12,Sell,50
2020-08-14,Buy,100
2020-08-17,Buy,75
2020-08-17,Sell,25
2020-08-18,Buy,25
2020-08-18,Sell,75
2020-08-19,Buy,100
2020-08-20,Buy,50
2020-08-20,Sell,50
2020-08-21,Buy,50
2020-08-21,Sell,50
2020-08-24,Buy,66
2020-08-24,Sell,33
2020-08-25,Buy,83
2020-08-25,Sell,16
2020-08-26,Buy,33
2020-08-26,Sell,66
2020-08-27,Buy,57
2020-08-27,Sell,42
2020-08-28,Buy,75
2020-08-28,Sell,25
2020-08-31,Buy,84
2020-08-31,Sell,15
2020-09-01,Buy,75
2020-09-01,Sell,24
2020-09-02,Buy,47
2020-09-02,Sell,52
2020-09-03,Buy,61
2020-09-03,Sell,38
2020-09-04,Buy,79
2020-09-04,Sell,20
2020-09-07,Buy,33
2020-09-07,Sell,66
2020-09-08,Buy,60
2020-09-08,Sell,40
2020-09-09,Buy,69
2020-09-09,Sell,30
