Stock,Position,User_count,Date,Last_updated
Tesla,1,96518.0,11/11/2020,2020-11-11 18:10:00
Apple,2,81421.0,11/11/2020,2020-11-11 18:00:00
Amazon,3,69608.0,11/11/2020,2020-11-11 20:00:00
NIO Inc,4,50294.0,11/11/2020,2020-11-11 20:00:00
BP PLC,5,43664.0,11/11/2020,2020-11-11 18:00:00
Microsoft,6,40298.0,11/11/2020,2020-11-11 20:00:00
National Grid,7,37871.0,11/11/2020,2020-11-11 10:30:00
Netflix,8,36516.0,11/11/2020,2020-11-11 19:30:00
Rolls-Royce Holdings,9,34729.0,11/11/2020,2020-11-11 18:00:00
Pfizer,10,33012.0,11/11/2020,2020-11-11 20:00:00
Lloyds Banking Group,11,31521.0,11/11/2020,2020-11-11 10:30:00
Aston Martin,12,31385.0,11/11/2020,2020-11-11 10:30:00
Vanguard S&P 500 ETF,13,30880.0,11/11/2020,2020-11-11 18:00:00
Under Armour,14,30676.0,11/11/2020,2020-11-11 10:30:00
Barclays,15,28065.0,11/11/2020,2020-11-11 10:30:00
easyJet,16,27518.0,11/11/2020,2020-11-11 18:00:00
Nvidia,17,27330.0,11/11/2020,2020-11-11 20:00:00
Alibaba,18,26766.0,11/11/2020,2020-11-11 20:00:00
Royal Dutch Shell,19,26710.0,11/11/2020,2020-11-11 18:00:00
Alphabet Inc. Class A,20,26580.0,11/11/2020,2020-11-11 20:00:00
Facebook,21,25947.0,11/11/2020,2020-11-11 20:00:00
Coca-Cola,22,24029.0,11/11/2020,2020-11-11 19:30:00
Cineworld Group,23,24017.0,11/11/2020,2020-11-11 20:00:00
iShares Global Clean Energy,24,22804.0,11/11/2020,2020-11-11 19:30:00
IAG SA,25,22609.0,11/11/2020,2020-11-11 18:00:00
Boeing,26,21604.0,11/11/2020,2020-11-11 18:10:00
Beyond Meat,27,20222.0,11/11/2020,2020-11-11 20:00:00
Walt Disney,28,19935.0,11/11/2020,2020-11-11 20:00:00
AstraZeneca,29,19510.0,11/11/2020,2020-11-11 18:00:00
Advanced Micro Devices,30,19490.0,11/11/2020,2020-11-11 20:00:00
GlaxoSmithKline,31,17728.0,11/11/2020,2020-11-11 18:00:00
Zoom,32,17352.0,11/11/2020,2020-11-11 20:00:00
Virgin Galactic,33,17283.0,11/11/2020,2020-11-11 18:10:00
Wirecard,34,16823.0,11/11/2020,2020-11-11 10:30:00
AT&T,35,16805.0,11/11/2020,2020-11-11 20:00:00
Nikola Corporation,36,16246.0,11/11/2020,2020-11-11 10:30:00
Tesco,37,15398.0,11/11/2020,2020-11-11 10:30:00
McDonald's,38,14942.0,11/11/2020,2020-11-11 20:00:00
Premier Oil,39,14722.0,11/11/2020,2020-11-11 20:00:00
Peloton Interactive,40,14056.0,11/11/2020,2020-11-11 18:10:00
Intel,41,13944.0,11/11/2020,2020-11-11 19:30:00
PayPal,42,13873.0,11/11/2020,2020-11-11 18:10:00
Square,43,13673.0,11/11/2020,2020-11-11 19:30:00
Aurora Cannabis,44,13547.0,11/11/2020,2020-11-11 19:30:00
HSBC Holdings,45,13453.0,11/11/2020,2020-11-11 10:30:00
Uber Technologies,46,12985.0,11/11/2020,2020-11-11 18:10:00
BioNTech,47,12065.0,11/11/2020,2020-11-11 19:30:00
Tilray,48,12023.0,11/11/2020,2020-11-11 10:30:00
Vanguard FTSE 100 GBP,49,11713.0,11/11/2020,2020-11-11 19:30:00
Visa,50,11554.0,11/11/2020,2020-11-11 18:00:00
Johnson & Johnson,51,11427.0,11/11/2020,2020-11-11 19:30:00
Palantir,52,11308.0,11/11/2020,2020-11-11 20:00:00
boohoo,53,11225.0,11/11/2020,2020-11-11 19:30:00
XPeng,54,11022.0,11/11/2020,2020-11-11 20:00:00
Ocado Group,55,10851.0,11/11/2020,2020-11-11 10:30:00
Nike,56,10816.0,11/11/2020,2020-11-11 20:00:00
American Airlines,57,10797.0,11/11/2020,2020-11-11 20:00:00
WisdomTree WTI Crude Oil,58,10779.0,11/11/2020,2020-11-11 10:30:00
Shopify,59,10273.0,11/11/2020,2020-11-11 19:30:00
Workhorse,60,9998.0,11/11/2020,2020-11-11 20:00:00
SmileDirectClub,61,9835.0,11/11/2020,2020-11-11 20:00:00
BAE Systems,62,9647.0,11/11/2020,2020-11-11 18:00:00
Vodafone Group,63,9644.0,11/11/2020,2020-11-11 10:30:00
Exxon Mobil,64,9089.0,11/11/2020,2020-11-11 20:00:00
Carnival,65,8867.0,11/11/2020,2020-11-11 18:00:00
General Electric,66,8570.0,11/11/2020,2020-11-11 20:00:00
Unilever,67,8470.0,11/11/2020,2020-11-11 10:30:00
iShares Physical Gold,68,8306.0,11/11/2020,2020-11-11 19:30:00
Sony,69,8235.0,11/11/2020,2020-11-11 20:00:00
J D Wetherspoon,70,8189.0,11/11/2020,2020-11-11 10:30:00
Slack,71,8065.0,11/11/2020,2020-11-11 20:00:00
Greggs,72,8009.0,11/11/2020,2020-11-11 10:30:00
Realty Income,73,7726.0,11/11/2020,2020-11-11 20:00:00
BT Group,74,7605.0,11/11/2020,2020-11-11 10:30:00
Ford Motor,75,7398.0,11/11/2020,2020-11-11 10:30:00
Hyliion Holdings,76,7315.0,11/11/2020,2020-11-11 19:30:00
Vanguard FTSE All-World High Dividend Yield,77,7236.0,11/11/2020,2020-11-11 18:00:00
Legal & General Group,78,7180.0,11/11/2020,2020-11-11 10:30:00
IBM Corporation,79,7129.0,11/11/2020,2020-11-11 18:10:00
Powerhouse Energy,80,7107.0,11/11/2020,2020-11-11 18:00:00
Delta Air Lines,81,7013.0,11/11/2020,2020-11-11 19:30:00
Snap Inc.,82,6865.0,11/11/2020,2020-11-11 20:00:00
Intu Properties,83,6838.0,11/11/2020,2020-11-11 18:00:00
Walmart,84,6808.0,11/11/2020,2020-11-11 18:00:00
Wells Fargo,85,6725.0,11/11/2020,2020-11-11 20:00:00
Berkshire Hathaway,86,6685.0,11/11/2020,2020-11-11 19:30:00
Aviva,87,6613.0,11/11/2020,2020-11-11 10:30:00
Moderna,88,6604.0,11/11/2020,2020-11-11 20:00:00
Greatland Gold,89,6568.0,11/11/2020,2020-11-11 10:30:00
JPMorgan Chase,90,6485.0,11/11/2020,2020-11-11 19:30:00
Plug Power,91,6482.0,11/11/2020,2020-11-11 20:00:00
Mastercard,92,6452.0,11/11/2020,2020-11-11 20:00:00
Etsy,93,6144.0,11/11/2020,2020-11-11 18:00:00
Deutsche Lufthansa,94,6130.0,11/11/2020,2020-11-11 18:00:00
Sundial Growers,95,6086.0,11/11/2020,2020-11-11 10:30:00
Twitter,96,6017.0,11/11/2020,2020-11-11 18:00:00
Bitcoin ETP,97,6010.0,11/11/2020,2020-11-11 18:00:00
TUI,98,5878.0,11/11/2020,2020-11-11 18:00:00
Qualcomm,99,5844.0,11/11/2020,2020-11-11 20:00:00
Tesla,1,96870.0,12/11/2020,2020-11-12 19:00:00
Apple,2,81358.0,12/11/2020,2020-11-12 16:20:00
Amazon,3,70210.0,12/11/2020,2020-11-12 19:00:00
NIO Inc,4,51473.0,12/11/2020,2020-11-12 19:00:00
BP PLC,5,43973.0,12/11/2020,2020-11-12 09:10:00
Microsoft,6,40452.0,12/11/2020,2020-11-12 19:00:00
National Grid,7,37768.0,12/11/2020,2020-11-12 05:40:00
Netflix,8,36598.0,12/11/2020,2020-11-12 16:20:00
Rolls-Royce Holdings,9,36472.0,12/11/2020,2020-11-12 19:00:00
Pfizer,10,33108.0,12/11/2020,2020-11-12 16:20:00
Lloyds Banking Group,11,31735.0,12/11/2020,2020-11-12 09:10:00
Aston Martin,12,31543.0,12/11/2020,2020-11-12 09:10:00
Vanguard S&P 500 ETF,13,31150.0,12/11/2020,2020-11-12 19:00:00
Under Armour,14,30625.0,12/11/2020,2020-11-12 05:40:00
Barclays,15,28158.0,12/11/2020,2020-11-12 09:10:00
easyJet,16,27946.0,12/11/2020,2020-11-12 16:20:00
Nvidia,17,27532.0,12/11/2020,2020-11-12 16:20:00
Alibaba,18,27528.0,12/11/2020,2020-11-12 19:00:00
Royal Dutch Shell,19,26807.0,12/11/2020,2020-11-12 09:10:00
Alphabet Inc. Class A,20,26760.0,12/11/2020,2020-11-12 16:20:00
Facebook,21,26067.0,12/11/2020,2020-11-12 19:00:00
Cineworld Group,22,24130.0,12/11/2020,2020-11-12 09:10:00
Coca-Cola,23,24087.0,12/11/2020,2020-11-12 16:20:00
iShares Global Clean Energy,24,23193.0,12/11/2020,2020-11-12 16:20:00
IAG SA,25,22812.0,12/11/2020,2020-11-12 19:00:00
Boeing,26,21650.0,12/11/2020,2020-11-12 16:20:00
Beyond Meat,27,21166.0,12/11/2020,2020-11-12 19:00:00
Walt Disney,28,20102.0,12/11/2020,2020-11-12 19:00:00
AstraZeneca,29,19627.0,12/11/2020,2020-11-12 16:20:00
Advanced Micro Devices,30,19623.0,12/11/2020,2020-11-12 16:20:00
GlaxoSmithKline,31,17923.0,12/11/2020,2020-11-12 19:00:00
Zoom,32,17446.0,12/11/2020,2020-11-12 16:20:00
Virgin Galactic,33,17368.0,12/11/2020,2020-11-12 16:20:00
AT&T,34,16938.0,12/11/2020,2020-11-12 19:00:00
Wirecard,35,16806.0,12/11/2020,2020-11-12 05:40:00
Nikola Corporation,36,16238.0,12/11/2020,2020-11-12 19:00:00
Tesco,37,15342.0,12/11/2020,2020-11-12 09:10:00
McDonald's,38,15187.0,12/11/2020,2020-11-12 19:00:00
Premier Oil,39,14869.0,12/11/2020,2020-11-12 19:00:00
Intel,40,14108.0,12/11/2020,2020-11-12 19:00:00
Peloton Interactive,41,14024.0,12/11/2020,2020-11-12 16:20:00
PayPal,42,13891.0,12/11/2020,2020-11-12 19:00:00
Square,43,13761.0,12/11/2020,2020-11-12 19:00:00
HSBC Holdings,44,13617.0,12/11/2020,2020-11-12 16:20:00
Aurora Cannabis,45,13503.0,12/11/2020,2020-11-12 16:20:00
Uber Technologies,46,12998.0,12/11/2020,2020-11-12 19:00:00
XPeng,47,12367.0,12/11/2020,2020-11-12 19:00:00
Palantir,48,12238.0,12/11/2020,2020-11-12 19:00:00
BioNTech,49,12067.0,12/11/2020,2020-11-12 09:10:00
Tilray,50,11932.0,12/11/2020,2020-11-12 09:10:00
Vanguard FTSE 100 GBP,51,11806.0,12/11/2020,2020-11-12 09:10:00
Visa,52,11613.0,12/11/2020,2020-11-12 16:20:00
Johnson & Johnson,53,11466.0,12/11/2020,2020-11-12 19:00:00
boohoo,54,11242.0,12/11/2020,2020-11-12 09:10:00
Ocado Group,55,10912.0,12/11/2020,2020-11-12 09:10:00
Nike,56,10877.0,12/11/2020,2020-11-12 19:00:00
American Airlines,57,10859.0,12/11/2020,2020-11-12 19:00:00
WisdomTree WTI Crude Oil,58,10731.0,12/11/2020,2020-11-12 05:40:00
Shopify,59,10335.0,12/11/2020,2020-11-12 16:20:00
SmileDirectClub,60,10306.0,12/11/2020,2020-11-12 19:00:00
Workhorse,61,10070.0,12/11/2020,2020-11-12 19:00:00
BAE Systems,62,9879.0,12/11/2020,2020-11-12 19:00:00
Vodafone Group,63,9648.0,12/11/2020,2020-11-12 09:10:00
Exxon Mobil,64,9127.0,12/11/2020,2020-11-12 19:00:00
Carnival,65,8930.0,12/11/2020,2020-11-12 19:00:00
General Electric,66,8562.0,12/11/2020,2020-11-12 09:10:00
Unilever,67,8500.0,12/11/2020,2020-11-12 09:10:00
iShares Physical Gold,68,8351.0,12/11/2020,2020-11-12 19:00:00
Sony,69,8343.0,12/11/2020,2020-11-12 16:20:00
J D Wetherspoon,70,8146.0,12/11/2020,2020-11-12 05:40:00
Slack,71,8108.0,12/11/2020,2020-11-12 19:00:00
Greggs,72,7969.0,12/11/2020,2020-11-12 09:10:00
Realty Income,73,7772.0,12/11/2020,2020-11-12 16:20:00
BT Group,74,7589.0,12/11/2020,2020-11-12 09:10:00
Ford Motor,75,7451.0,12/11/2020,2020-11-12 19:00:00
Hyliion Holdings,76,7317.0,12/11/2020,2020-11-12 09:10:00
Vanguard FTSE All-World High Dividend Yield,77,7285.0,12/11/2020,2020-11-12 19:00:00
Legal & General Group,78,7199.0,12/11/2020,2020-11-12 09:10:00
IBM Corporation,79,7195.0,12/11/2020,2020-11-12 19:00:00
Powerhouse Energy,80,7112.0,12/11/2020,2020-11-12 16:20:00
Delta Air Lines,81,7033.0,12/11/2020,2020-11-12 19:00:00
Snap Inc.,82,6879.0,12/11/2020,2020-11-12 05:40:00
Walmart,83,6849.0,12/11/2020,2020-11-12 16:20:00
Intu Properties,84,6838.0,12/11/2020,2020-11-12 19:00:00
Plug Power,85,6764.0,12/11/2020,2020-11-12 19:00:00
